id,make,model,year,length,height,width,groundClearance
"HR-V16","Honda","HR-V","2016","4294","1605","1772","170"
"Renegade15","Jeep","Renegade","2015","4255","1697","1805","176"
"Compass11","Jeep","Compass","2011","4448","1718","1812","200"
"CX-315","Mazda","CX-3","2015","4270","1535","1765","154"
"CX-315","Mazda","CX-5","2015","4555","1670","1840","210"
"200813","Peugeot","2008","2013","4159","1739","1556","165"
"Captur13","Renault","Captur","2013","4122","1573","1770","170"
"Forester13","Suburu","Forester","2013","4595","1735","1795","220"
"Forester11","Suburu","Forester","2011","4560","1700","1780","215"
"XV16","Suburu","XV","2016","4450","1780","1570","220"
"Swift09","Suzuki","Swift","2009","3696","1510","1695","140"
"Swift16","Suzuki","Swift","2016","3851","1510","1695","140"
"SX4Crossover12","Suzuki","SX4Crossover","2012","4150","1605","1755","160"
"S-Cross14","Suzuki","S-Cross","2014","4300","1765","1580","170"
"Vitara16","Suzuki","Vitara","2016","4175","1610","1775","195"
"Tiguan11","Volkswagen","Tiguan","2011","4426","1703","1809","195"
"Tiguan16","Volkswagen","Tiguan","2016","4426","1703","1809","195"
